名称,地址,纬度,经度
山阳镇阳光之家,上海市金山区山阳小学西北门西50米,30.768697,121.378032
上海市奉贤区机关事业单位福利事业中心,上海市奉贤区南桥镇菜场路1169号,30.921466,121.457481
上海浦东由由信福养老院,上海市浦东新区下南路1288弄,31.192525,121.539832
上海快乐家园护理院,上海市闵行区华漕镇金光路259号,31.204454,121.283296
上海人寿堂颐养院,上海市长宁区虹桥路2302号6幢B1、7-9层,31.195924,121.379467
上海康申沃尔护理院,上海市浦东新区高荷路391号,31.343821,121.583368
臻悦护理院,上海市杨浦区周家嘴路3795号,31.286084,121.549934
上海祥福颐养院,协和路99号,31.210223,121.363644
呵护家颐养院,上海市闵行区北翟路3158号,31.229445,121.324597
君莲养老院,上海市闵行区沪光路225号(近都会路),31.084342,121.420987
华漕镇敬老院,上海市闵行区季乐路76号,31.224044,121.300175
宝山区高境镇养老院,上海市宝山区何家湾路99弄9号,31.33698,121.50032
新桥敬老院,上海市松江区申浜路288号,31.069135,121.330533
闵行区虹桥镇敬老院,上海市闵行区虹桥环镇南路120号,31.180068,121.394225
世博家园养老院,上海市浦东新区东泰林路158号(浦三路地铁站2号口步行410米),31.158595,121.547521
合庆敬老院,青暮路281号,31.224372,121.701121
红日养老院,上海市杨浦区双阳路330号2号楼,31.283437,121.540823
上海宝山区逸仙养老院,上海市宝山区塘后支路19-21号,31.397094,121.517674
香树湾护理院,上海市浦东新区六奉公路5033弄,31.045864,121.70155
华安养老院,上海市浦东新区云台路839号,31.166297,121.516055
上海同心护理院,上海市闵行区双柏路1328号,31.094147,121.438667
中国福利会国际和平妇幼保健院(奉贤院区),上海市奉贤区望河路168号;金钱公路1567号,30.964462,121.513799
上海宝济护理院,上海市宝山区同济路868弄2号,31.404659,121.483072
信养之家(宝山大场养老院),上海市宝山区场中路4098弄8号楼,31.306507,121.421288
