名称,地址,纬度,经度
大哞牛馆(仙林大学城店),"学衡路中段,紫金农商银行楼上",32.101399,118.921645
南京明基医院,江苏省南京市建邺区河西大街71号,31.99282,118.735523
河海大学医院,江苏省南京市鼓楼区西康路1号,32.058861,118.76416
光头烧烤(医科大学店),天元东路义乌小商品城城市之光大厦1楼113,31.945017,118.886774
东南大学酒店,南京市江宁区铺岗街格林豪泰快捷酒店(江宁东南大学店)东南侧约180米,31.891859,118.843852
河海大学-电视台,南京市鼓楼区西康路1号,32.060593,118.764914
河海大学-会议室,江苏省南京市江宁区黄河路勤学楼二楼,31.919504,118.793639
博学苑-1号,江苏省南京市鼓楼区童家巷24号,32.07777,118.786277
南京江北医院,江苏省南京市江北新区葛关路552号,32.24097,118.764182
大校场,地铁10号线二期,32.004188,118.830178
大校场,地铁5号线,32.004579,118.830452
